"osm_id";"name";"access";"amenity";"bottle";"capacity";"check_date";"cold_water";"colour";"covered";"description";"designation";"drinking_water";"drinking_water:legal";"drinking_water:seasonal";"drinking_water:type";"fee";"fixme";"fountain";"height";"hot_water";"image";"indoor";"level";"lit";"man_made";"mapillary";"model";"not:operator:wikidata";"note";"opening_hours";"operator";"operator:short";"operator:type";"operator:wikidata";"operator:wikipedia";"playground";"pump";"ref:room";"seasonal";"source";"start_date";"toilets:wheelchair";"type";"website";"wheelchair";"wikidata";"geometry";"city";"company";"description:de";"drinking_water:refill";"emergency";"office";"waste";"water_point";"artist_name";"artwork_type";"inscription";"location";"material";"tourism";"wheelchair:description";"wikimedia_commons";"addr:street";"dog";"drinkable";"image:0";"access:conditional";"alt_name";"loc_name";"natural";"note:de";"access:note:de";"architect";"button_operated";"denotation";"url";"wikipedia";"addr:postcode";"description:en";"ref";"width";"addr:city";"addr:housenumber";"addr:suburb";"contact:email";"contact:facebook";"contact:phone";"entrance";"payment:coins";"shop";"comment";"vending";"name:en";"stateofrepair";"survey:date";"note:opening_hours";"payment:none";"fire_hydrant:diameter";"fire_hydrant:position";"fire_hydrant:type";"heritage";"historic";"intermittent";"karlsruhe_brunnen_ref";"BLfD:criteria";"disused";"heritage:operator";"owner";"ref:BLfD";"created_by";"depth";"hazard";"temperature";"FIXME";"amenity_1";"ele";"wpt_description";"wpt_symbol";"flickr";"memorial";"charge";"refitted";"name:etymology:wikidata";"source:geometry";"source:position";"water";"inscription:de";"contact:fax"
"7877954327";"7877954327";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.5764176, 52.5399059);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7880721538";"7880721538";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;"yes";"yes";NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.4071, 52.4822);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7894383563";"7894383563";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen";NA;"yes";"yes";"yes";NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Apr-Oct: Mo-Su,PH 00:00-24:00";"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.5209785, 52.5038306);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7894394865";"7894394865";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.5087798, 52.5253726);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7911141740";"7911141740";NA;NA;"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.3866466, 52.4714716);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7984296070";"7984296070";NA;"yes";"drinking_water";NA;NA;NA;NA;"blue";NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.4484522, 52.4818435);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7996778900";"7996778900";NA;"yes";"drinking_water";"yes";NA;"2022-08";NA;"blue";NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;"yes";NA;"113853664384974";NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.446422, 52.4835802);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8013863664";"8013863664";NA;"yes";"drinking_water";"no";NA;NA;NA;NA;"no";NA;NA;"unknown";NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;"no";"water_tap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.3408264, 52.6342023);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8013863667";"8013863667";NA;"yes";"drinking_water";"no";NA;NA;NA;NA;"no";NA;NA;"unknown";NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;"no";"water_tap";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.3413176, 52.6344478);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8025291920";"8025291920";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;"no";"Trinkbrunnen; Mai-Okt";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.3147774, 52.4993885);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8025313729";"8025313729";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen; Mai-Okt";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.3227511, 52.4977287);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8110404848";"8110404848";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;"Trinkbrunnen";NA;"yes";NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;"1077732362857284";NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.5704202, 52.5488292);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8165323901";"8165323901";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.5566231, 52.5466075);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8198906657";"8198906657";NA;"yes";"drinking_water";NA;NA;"2022-09-06";NA;"blue";NA;"Trinkbrunnen";NA;"yes";"yes";"yes";NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;"867640337558742";NA;NA;NA;"Apr-Oct: Mo-Su,PH 00:00-24:00";"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.4859343, 52.5113827);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8329231429";"8329231429";NA;NA;"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.3531494, 52.6001405);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8713008711";"8713008711";NA;"yes";"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.4204021, 52.552017);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8722868012";"8722868012";"Trinkbrunnen an der Marie";"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";NA;NA;NA;NA;"April-Oktober";NA;NA;NA;NA;NA;NA;NA;c(13.4244979, 52.535006);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8755058879";"8755058879";NA;NA;"drinking_water";"yes";NA;NA;"yes";NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.395756, 52.4891231);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8764023901";"8764023901";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.2080271, 52.5554727);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8804475680";"8804475680";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.2402752, 52.4424363);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8808497699";"8808497699";NA;"yes";"drinking_water";"yes";NA;NA;NA;"blue";NA;"Trinkbrunnen";NA;"yes";NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.7209279, 52.4389881);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8811130807";"8811130807";NA;NA;"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;"seasonal";NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Trinkbrunnen; März-Oktober";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"yes";NA;c(13.2903353, 52.6343557);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8823483306";"8823483306";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.2301961, 52.4470859);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8823483307";"8823483307";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.2577857, 52.4354299);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8823483308";"8823483308";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)";NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.3120918, 52.4429087);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8823483309";"8823483309";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Trinkbrunnen, nur außerhalb der Frostperiode (Mai-Okt)";NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.3431569, 52.4389861);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8833419668";"8833419668";NA;"yes";"drinking_water";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c(13.4221867, 52.5443624);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8852702810";"8852702810";NA;"yes";"drinking_water";"yes";NA;NA;NA;NA;NA;"Berliner Trinkbrunnen; Mai-Okt";NA;NA;NA;NA;NA;"no";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Berliner Wasserbetriebe";NA;NA;"Q821856";"de:Berliner Wasserbetriebe";NA;NA;NA;"April to October";NA;NA;NA;NA;NA;"no";NA;c(13.4391818, 52.4890967);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8909637917";"8909637917";NA;NA;"drinking_water";"yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"no";NA;"bubbler";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"limited";NA;c(13.4293857, 52.5186853);"Berlin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
